Datetime,Main_Tag,hashtags,Tweet_id,post_urls,link
2017-07-21 23:40:02+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888544127343874050,https://twitter.com/CIO_News/status/888544127343874050,http://buff.ly/2tIqusT
2017-07-21 23:38:03+00:00,FreeDownload,"scm,FreeDownload,Free,Giveaway",888543626892103680,https://twitter.com/artofserviceIT/status/888543626892103680,http://buff.ly/2tIew2q
2017-07-21 23:34:00+00:00,FreeDownload,"scm,FreeDownload,Free,Giveaway",888542606539448320,https://twitter.com/EmereoBooks/status/888542606539448320,http://buff.ly/2tIGfjp
2017-07-21 23:32:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888542105030754304,https://twitter.com/ITItnews/status/888542105030754304,http://buff.ly/2ucKB5N
2017-07-21 23:32:00+00:00,FreeDownload,"uml,FreeDownload,Free,Giveaway",888542104791597056,https://twitter.com/CIO_News/status/888542104791597056,http://buff.ly/2ucxb9M
2017-07-21 23:31:04+00:00,FreeDownload,"freedownload,hiphop,pdicey,video,Nigeria",888541868132376576,https://twitter.com/pdicey/status/888541868132376576,http://234playlist.com/download-p-dicey-my-store-video/
2017-07-21 23:30:14+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888541660551852032,https://twitter.com/TAOS_events/status/888541660551852032,http://buff.ly/2tJ02z7
2017-07-21 23:28:00+00:00,FreeDownload,"eventmanagement,FreeDownload,Free,Giveaway",888541097890336768,https://twitter.com/Content_Managem/status/888541097890336768,http://buff.ly/2ubAttY
2017-07-21 23:27:34+00:00,FreeDownload,"rougherandrougher,FeatureFriday,FreeDownload",888540988800618497,https://twitter.com/tlifejr/status/888540988800618497,http://www.onlivemagazine.com
2017-07-21 23:27:34+00:00,FreeDownload,"rougherandrougher,FeatureFriday,FreeDownload",888540988800618497,https://twitter.com/tlifejr/status/888540988800618497,http://www.tlifemusic.com
2017-07-21 23:24:01+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888540093253918720,https://twitter.com/TechnewsNews/status/888540093253918720,http://buff.ly/2ucuJA4
2017-07-21 23:22:01+00:00,FreeDownload,"uml,FreeDownload,Free,Giveaway",888539591485128706,https://twitter.com/TAOS_events/status/888539591485128706,http://buff.ly/2uabHJi
2017-07-21 23:21:04+00:00,FreeDownload,"np,SoundCloud,Dubstep,Riddim,FreeDownload",888539352611074048,https://twitter.com/RiddimNextDoor/status/888539352611074048,http://crwd.fr/2sFJKeI
2017-07-21 23:16:05+00:00,FreeDownload,"asvab,FreeDownload,Free,Giveaway",888538099181002752,https://twitter.com/artofserviceIT/status/888538099181002752,http://buff.ly/2tIv2iG
2017-07-21 23:15:06+00:00,FreeDownload,"FREE,FreeDownload,BookWorm,FridayReads",888537851930988545,https://twitter.com/tobywneal/status/888537851930988545,http://ow.ly/URLZ30dO3XM
2017-07-21 23:14:05+00:00,FreeDownload,"scm,FreeDownload,Free,Giveaway",888537595348738048,https://twitter.com/TAOS_events/status/888537595348738048,http://buff.ly/2vkL30d
2017-07-21 23:12:02+00:00,FreeDownload,"asvab,FreeDownload,Free,Giveaway",888537077029195781,https://twitter.com/EmereoBooks/status/888537077029195781,http://buff.ly/2tIF6s7
2017-07-21 23:12:01+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888537073300496385,https://twitter.com/DataCentreNews1/status/888537073300496385,http://buff.ly/2vlm6Sj
2017-07-21 23:12:00+00:00,FreeDownload,"asvab,FreeDownload,Free,Giveaway",888537069416574976,https://twitter.com/Blogging_News1/status/888537069416574976,http://buff.ly/2uca3bt
2017-07-21 23:10:10+00:00,FreeDownload,"NeoClassic,np,SoundCloud,PoeticPain,GangstaGrio,FREEDOWNLOAD",888536609477578753,https://twitter.com/HughEMC/status/888536609477578753,http://buff.ly/2ujZSA4
2017-07-21 23:10:09+00:00,FreeDownload,"innovation,FreeDownload,Free,Giveaway",888536605098729472,https://twitter.com/Content_Managem/status/888536605098729472,http://buff.ly/2tHXscS
2017-07-21 23:10:00+00:00,FreeDownload,"e,FreeDownload,Free,Giveaway",888536566800318464,https://twitter.com/artofserviceIT/status/888536566800318464,http://buff.ly/2uBfQsq
2017-07-21 23:08:08+00:00,FreeDownload,"e,FreeDownload,Free,Giveaway",888536096921055234,https://twitter.com/EmereoBooks/status/888536096921055234,http://buff.ly/2trURIw
2017-07-21 23:08:01+00:00,FreeDownload,"e,FreeDownload,Free,Giveaway",888536066327797760,https://twitter.com/Blogging_News1/status/888536066327797760,http://buff.ly/2uAFcqe
2017-07-21 23:04:08+00:00,FreeDownload,"uml,FreeDownload,Free,Giveaway",888535088832577541,https://twitter.com/EnterpriseNews1/status/888535088832577541,http://buff.ly/2ts9ZG8
2017-07-21 23:02:00+00:00,FreeDownload,"asvab,FreeDownload,Free,Giveaway",888534555061239808,https://twitter.com/CIO_News/status/888534555061239808,http://buff.ly/2uc7git
2017-07-21 23:00:25+00:00,FreeDownload,"FreeDownload,Freebooks,fantasy,storytelling,adventure,ebooks,novel,mustread,bookmark",888534155234951168,https://twitter.com/LegacySeries_6/status/888534155234951168,http://bit.ly/2rzbm1v
